radio,mcc,net,area,cell,unit,lon,lat,range_,samples,changeable,created,updated,averagesig,county,subcounty,ward
GSM,639,3,302,4741,0,34.92073059,0.180587769,1000,1,1,1458941411,1429053498,0,Vihiga,Hamisi Sub County,Shiru Ward
GSM,639,7,14207,1242,0,34.756393,0.11879,1000,3,1,1458941423,1488861620,0,Vihiga,Sabatia Sub County,Chavakali Ward
GSM,639,7,14207,2072,0,34.784431,0.130463,7083,4,1,1466138829,1489747706,0,Vihiga,Sabatia Sub County,Busali Ward
GSM,639,2,5142,2522,0,34.57054138,0.083084106,1000,1,1,1485409635,1485386053,0,Vihiga,Emuhaya Sub County,West Bunyore Ward
GSM,639,7,14207,1042,0,34.579239,0.056534,3384,3,1,1459851801,1469088468,0,Vihiga,Emuhaya Sub County,West Bunyore Ward
GSM,639,7,14207,1012,0,34.587479,0.019455,1240,3,1,1459851801,1479013687,0,Vihiga,Luanda Sub County,Mwibona Ward
GSM,639,2,5071,741,0,34.84794617,0.125656128,1000,1,1,1460225420,1460203533,0,Vihiga,Hamisi Sub County,Shiru Ward
GSM,639,2,5068,926,0,34.823227,0.144882,3482,2,1,1460225420,1488861626,0,Vihiga,Hamisi Sub County,Muhudu Ward
GSM,639,2,5068,925,0,34.84794617,0.125656128,1000,2,1,1460225420,1478741670,0,Vihiga,Hamisi Sub County,Shiru Ward
GSM,639,2,5068,924,0,34.857559,0.127716,1093,2,1,1460225420,1490247170,0,Vihiga,Hamisi Sub County,Shiru Ward
GSM,639,2,5068,920,0,34.854126,0.127029,1000,2,1,1460225420,1490247170,0,Vihiga,Hamisi Sub County,Shiru Ward
UMTS,639,2,46016,137732108,0,34.58015442,0.063858032,1000,1,1,1463245733,1463225381,0,Vihiga,Emuhaya Sub County,West Bunyore Ward
UMTS,639,2,46016,137751021,0,34.563332,0.072784,1825,4,1,1463245734,1469955481,0,Vihiga,Emuhaya Sub County,West Bunyore Ward
UMTS,639,2,46016,137731798,0,34.572601,0.079651,1000,2,1,1463245733,1467630732,0,Vihiga,Emuhaya Sub County,West Bunyore Ward
GSM,639,2,5009,6086,0,34.691391,0.00206,7019,3,1,1463249132,1488861626,0,Vihiga,Vihiga Sub County,South Maragoli Ward
GSM,639,2,5123,5335,0,34.57740784,0.073471069,1000,1,1,1463249133,1463225422,0,Vihiga,Emuhaya Sub County,West Bunyore Ward
GSM,639,2,5119,2521,0,34.565506,0.079422,2354,3,1,1463249133,1469088468,0,Vihiga,Emuhaya Sub County,West Bunyore Ward
UMTS,639,2,46016,137733228,0,34.581253,0.037766,1000,5,1,1463249332,1472895768,0,Vihiga,Emuhaya Sub County,West Bunyore Ward
UMTS,639,2,46016,137733226,0,34.580154,0.054245,1000,4,1,1463249332,1472895768,0,Vihiga,Emuhaya Sub County,West Bunyore Ward
UMTS,639,2,46016,137750796,0,34.592972,0.018539,1000,3,1,1463249332,1469955481,0,Vihiga,Luanda Sub County,Luanda Township Ward
UMTS,639,2,46016,137750800,0,34.595718,0.01442,1000,3,1,1463249332,1469088468,0,Vihiga,Luanda Sub County,Emabungo Ward
UMTS,639,2,49331,137733657,0,34.556351,0.085831,1120,3,1,1463980021,1475485379,0,Vihiga,Emuhaya Sub County,West Bunyore Ward
GSM,639,2,5105,501,0,34.56367493,-0.029525757,1000,1,1,1464384936,1464146697,0,Vihiga,Luanda Sub County,Luanda South Ward
GSM,639,2,5105,502,0,34.56367493,-0.029525757,1000,1,1,1464384936,1464146697,0,Vihiga,Luanda Sub County,Luanda South Ward
GSM,639,7,14207,1041,0,34.57328796,0.077590942,1000,1,1,1464384937,1464146697,0,Vihiga,Emuhaya Sub County,West Bunyore Ward
GSM,639,7,14207,1043,0,34.57466125,0.076217651,1000,1,1,1464384937,1464146697,0,Vihiga,Emuhaya Sub County,West Bunyore Ward
GSM,639,7,14207,1021,0,34.57054138,0.083084106,1000,1,1,1464384937,1464146697,0,Vihiga,Emuhaya Sub County,West Bunyore Ward
GSM,639,7,14207,1253,0,34.659348,0.062943,8678,3,1,1464864702,1488861620,0,Vihiga,Luanda Sub County,Wemilabi Ward
GSM,639,3,64,36904,0,34.649735,0.092239,8623,3,1,1464890122,1476670908,0,Vihiga,Emuhaya Sub County,North East Bunyore Ward
UMTS,639,7,2002,19737591,0,34.721603,0.082397,1000,2,1,1465421770,1466851251,0,Vihiga,Vihiga Sub County,Lugaga-wamuluma Ward
GSM,639,3,64,14815,0,34.86717224,0.12840271,1000,1,1,1465812457,1465791788,0,Vihiga,Hamisi Sub County,Shiru Ward
UMTS,639,7,2002,19737588,0,34.720917,0.076904,1000,2,1,1466874760,1488861620,0,Vihiga,Vihiga Sub County,Lugaga-wamuluma Ward
GSM,639,2,5068,2184,0,34.81636,0.12291,3525,2,1,1467147742,1473299266,0,Vihiga,Sabatia Sub County,Busali Ward
GSM,639,2,5068,2192,0,34.84794617,0.125656128,1000,1,1,1467147742,1467107684,0,Vihiga,Hamisi Sub County,Shiru Ward
GSM,639,2,5067,6665,0,34.598694,0.015106,1000,4,1,1467652192,1483391100,0,Vihiga,Luanda Sub County,Emabungo Ward
UMTS,639,2,46016,137734037,0,34.58015442,0.069351196,1000,1,1,1467654251,1467630732,0,Vihiga,Emuhaya Sub County,West Bunyore Ward
UMTS,639,2,46016,137737798,0,34.58564758,0.025405884,1000,1,1,1467654252,1467630732,0,Vihiga,Luanda Sub County,Luanda Township Ward
UMTS,639,2,46016,137737797,0,34.59343,0.018082,1000,3,1,1467654251,1476518817,0,Vihiga,Luanda Sub County,Luanda Township Ward
GSM,639,2,5067,850,0,34.698257,0.047379,1535,2,1,1468048060,1469365722,0,Vihiga,Vihiga Sub County,Central Maragoli Ward
GSM,639,2,5067,854,0,34.71199036,0.046005249,1000,1,1,1468048060,1468025798,0,Vihiga,Vihiga Sub County,Central Maragoli Ward
GSM,639,2,5066,3746,0,34.71199036,0.046005249,1000,1,1,1468055110,1468034982,0,Vihiga,Vihiga Sub County,Central Maragoli Ward
